Ref,Period,Ref_Period,"Cash, Demand & Fixed Deposits",Cash and Demand Deposits,Commercial Paper and Corporate Bonds,Fixed and Time Deposits,Guaranteed Funds,Immovable Property,Kenya Government Securities,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,"Cash, Demand & Fixed Deposits - Income",Commercial Paper and Corporate Bonds - Income,Fixed and Time Deposits - Income,Guaranteed Funds - Income,Immovable Property - Income,Kenya Government Securities - Income,Offshore Investments - Income,Property Unit Trusts - Income,Quoted Equity - Income,Unquoted Equity - Income,"Cash, Demand & Fixed Deposit- RR",Commercial Paper and Corporate Bonds - RR,Guaranteed Funds - RR,Immovable Property - RR,Kenya Government Securities - RR,Offshore Investments - RR,Property Unit Trusts - RR,Quoted Equity - RR,Unquoted Equity - RR
1,Jun-14,1 41791, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Dec-14,1 41974, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Dec-15,1 42339, -   , -   , -   , -   ," 16,857,240.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,219,378.00 ", -   , -   , -   , -   , -   , -   ,0.00%,0.00%,7.23%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Dec-16,1 42705, -   , -   , -   , -   ," 21,291,790.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,644,931.00 ", -   , -   , -   , -   , -   , -   ,0.00%,0.00%,7.73%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Dec-17,1 43070, -   , -   , -   , -   ," 26,433,672.00 ", -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,238,169.00 ", -   , -   , -   , -   , -   , -   ,0.00%,0.00%,8.47%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Dec-21,1 44531, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,Jun-22,1 44713, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,Dec-13,10 41609, -   , -   ," 28,841,221.00 ", -   , -   ," 145,000,000.00 "," 179,182,329.00 ", -   , -   ," 106,224,228.00 ", -   ," 1,956,968.00 "," 3,708,158.00 ", -   , -   ," 4,013,000.00 "," 21,516,272.00 "," 31,056.00 ", -   ," 3,572,544.00 ", -   ,0.00%,12.86%,0.00%,2.77%,12.01%,0.00%,0.00%,3.36%,0.00%
10,Dec-14,10 41974," 57,344,164.00 ", -   ," 28,550,772.00 "," 57,344,164.00 ", -   ," 155,000,000.00 "," 175,458,388.00 ", -   , -   ," 121,363,161.00 ", -   ," 4,614,777.00 "," 3,875,783.00 ", -   , -   ," 8,010,947.00 "," 18,128,114.00 ", -   , -   ," 4,236,175.00 ", -   ,8.05%,13.58%,0.00%,5.17%,10.33%,0.00%,0.00%,3.49%,0.00%
10,Dec-15,10 42339," 90,470,521.00 ", -   ," 32,098,259.00 "," 90,470,521.00 ", -   ," 155,000,000.00 "," 174,007,483.00 ", -   , -   ," 111,689,746.00 ", -   ," 8,556,379.00 "," 3,728,402.00 ", -   , -   ," 9,464,000.00 "," 21,044,014.00 ", -   , -   ," 4,719,705.00 ", -   ,9.46%,11.62%,0.00%,6.11%,12.09%,0.00%,0.00%,4.23%,0.00%
