Year,Total Pension Assets,Nomial IRR,Real IRR
2001," 1,092.62 ", -   , -   
2002," 1,391.76 ", -   , -   
2003," 1,751.71 ", -   , -   
2004," 2,013.79 ", -   , -   
2005," 2,589.38 ", -   , -   
2006," 3,506.32 ", -   , -   
2007," 4,207.42 ", -   , -   
2008," 3,503.79 ", 8.64 , (14.34)
2009," 4,139.60 ", 6.35 , 0.98 
2010," 5,346.34 ", 17.50 , 12.43 
2011," 5,419.05 ", (9.90), (24.24)
2012," 6,380.17 ", -   , .. 
2013," 8,071.86 ", 17.63 , 9.78 
2014," 8,344.19 ", 13.05 , 6.64 
2015," 7,957.08 ", -   , .. 
2016," 9,588.08 ", 7.33 , 0.93 
2017," 10,463.01 ", 10.01 , 5.28 
2018," 11,452.07 ", 6.29 , 0.55 
2019," 12,810.70 ", -   , .. 
2020," 12,814.20 ", 6.23 , 0.57 
2021," 13,676.99 ", 8.79 , 2.90 
