Ref,Period,Ref_Period,"Cash, Demand & Fixed Deposits",Cash and Demand Deposits,Commercial Paper and Corporate Bonds,Fixed and Time Deposits,Guaranteed Funds,Immovable Property,Kenya Government Securities,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,"Cash, Demand & Fixed Deposits - Income",Commercial Paper and Corporate Bonds - Income,Fixed and Time Deposits - Income,Guaranteed Funds - Income,Immovable Property - Income,Kenya Government Securities - Income,Offshore Investments - Income,Property Unit Trusts - Income,Quoted Equity - Income,Unquoted Equity - Income
1,Jun-14,1 41791,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-14,1 41974,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-15,1 42339,0.00,0.00,0.00,0.00,16857240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1219378.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-16,1 42705,0.00,0.00,0.00,0.00,21291790.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1644931.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-17,1 43070,0.00,0.00,0.00,0.00,26433672.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2238169.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-21,1 44531,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Jun-22,1 44713,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Dec-13,10 41609,0.00,0.00,28841221.00,0.00,0.00,145000000.00,179182329.00,0.00,0.00,106224228.00,0.00,1956968.00,3708158.00,0.00,0.00,4013000.00,21516272.00,31056.00,0.00,3572544.00,0.00
10,Dec-14,10 41974,57344164.00,0.00,28550772.00,57344164.00,0.00,155000000.00,175458388.00,0.00,0.00,121363161.00,0.00,4614777.00,3875783.00,0.00,0.00,8010947.00,18128114.00,0.00,0.00,4236175.00,0.00
10,Dec-15,10 42339,90470521.00,0.00,32098259.00,90470521.00,0.00,155000000.00,174007483.00,0.00,0.00,111689746.00,0.00,8556379.00,3728402.00,0.00,0.00,9464000.00,21044014.00,0.00,0.00,4719705.00,0.00
10,Dec-16,10 42705,23522068.00,0.00,31810739.00,23522068.00,0.00,155000000.00,253098181.00,0.00,0.00,94585169.00,0.00,3880374.00,3622554.00,0.00,0.00,9346000.00,25057334.00,0.00,0.00,6221952.00,0.00
10,Dec-17,10 43070,7561432.00,0.00,28227182.00,7561432.00,0.00,170000000.00,287901564.00,0.00,0.00,124297093.00,0.00,1034387.00,3974681.00,0.00,0.00,9216000.00,29664863.00,0.00,0.00,5826829.00,0.00
10,Dec-18,10 43435,16754050.00,0.00,25378378.00,0.00,0.00,170000000.00,308657147.00,0.00,0.00,126676572.00,0.00,925098.00,3059185.00,0.00,0.00,7868814.00,35183941.00,0.00,0.00,5568646.00,0.00
10,Dec-19,10 43800,25057919.00,0.00,17356577.00,25057919.00,0.00,170000000.00,358722992.00,0.00,0.00,128002177.00,0.00,1335138.00,2621719.00,0.00,0.00,0.00,37761106.00,0.00,6360889.00,8313011.00,0.00
