Ref,Period,Ref_Period,"Cash, Demand & Fixed Deposits",Cash and Demand Deposits,Commercial Paper and Corporate Bonds,Fixed and Time Deposits,Guaranteed Funds,Immovable Property,Kenya Government Securities,Offshore Investments,Property Unit Trusts,Quoted Equity,Unquoted Equity,"Cash, Demand & Fixed Deposits - Income",Commercial Paper and Corporate Bonds - Income,Fixed and Time Deposits - Income,Guaranteed Funds - Income,Immovable Property - Income,Kenya Government Securities - Income,Offshore Investments - Income,Property Unit Trusts - Income,Quoted Equity - Income,Unquoted Equity - Income,"Cash, Demand & Fixed Deposit- RR",Commercial Paper and Corporate Bonds - RR,Guaranteed Funds - RR,Immovable Property - RR,Kenya Government Securities - RR,Offshore Investments - RR,Property Unit Trusts - RR,Quoted Equity - RR,Unquoted Equity - RR
1,Jun-14,1 41791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-14,1 41974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-15,1 42339,0,0,0,0,16857240,0,0,0,0,0,0,0,0,0,1219378,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-16,1 42705,0,0,0,0,21291790,0,0,0,0,0,0,0,0,0,1644931,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-17,1 43070,0,0,0,0,26433672,0,0,0,0,0,0,0,0,0,2238169,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1,Dec-21,1 44531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1,Jun-22,1 44713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,Dec-13,10 41609,0,0,28841221,0,0,145000000,179182329,0,0,106224228,0,1956968,3708158,0,0,4013000,21516272,31056,0,3572544,0,0.00,0.13,0.00,0.03,0.12,0.00,0.00,0.03,0.00
10,Dec-14,10 41974,57344164,0,28550772,57344164,0,155000000,175458388,0,0,121363161,0,4614777,3875783,0,0,8010947,18128114,0,0,4236175,0,0.08,0.14,0.00,0.05,0.10,0.00,0.00,0.03,0.00
10,Dec-15,10 42339,90470521,0,32098259,90470521,0,155000000,174007483,0,0,111689746,0,8556379,3728402,0,0,9464000,21044014,0,0,4719705,0,0.09,0.12,0.00,0.06,0.12,0.00,0.00,0.04,0.00
10,Dec-16,10 42705,23522068,0,31810739,23522068,0,155000000,253098181,0,0,94585169,0,3880374,3622554,0,0,9346000,25057334,0,0,6221952,0,0.16,0.11,0.00,0.06,0.10,0.00,0.00,0.07,0.00
10,Dec-17,10 43070,7561432,0,28227182,7561432,0,170000000,287901564,0,0,124297093,0,1034387,3974681,0,0,9216000,29664863,0,0,5826829,0,0.14,0.14,0.00,0.05,0.10,0.00,0.00,0.05,0.00
10,Dec-18,10 43435,16754050,0,25378378,0,0,170000000,308657147,0,0,126676572,0,925098,3059185,0,0,7868814,35183941,0,0,5568646,0,0.06,0.12,0.00,0.05,0.11,0.00,0.00,0.04,0.00
10,Dec-19,10 43800,25057919,0,17356577,25057919,0,170000000,358722992,0,0,128002177,0,1335138,2621719,0,0,0,37761106,0,6360889,8313011,0,0.05,0.15,0.00,0.00,0.11,0.00,0.00,0.06,0.00
10,Dec-20,10 44166,0,0,2902386,0,0,165000000,371010799,0,0,118885158,0,860590,1028571,0,0,9120000,45328156,0,0,5112663,0,0.00,0.35,0.00,0.06,0.12,0.00,0.00,0.04,0.00
10,Dec-21,10 44531,7014204,0,0,7014204,0,165000000,507994003,27464769,0,136881791,0,1536341,95920,0,0,7434257,61534239,0,0,4497410,0,0.22,0.00,0.00,0.05,0.12,0.00,0.00,0.03,0.00
10,Dec-22,10 44896,0,0,0,0,0,165000000,630135872,18826162,0,108980786,0,1853449,0,0,0,8208000,77158088,0,0,7818703,0,0.00,0.00,0.00,0.05,0.12,0.00,0.00,0.07,0.00
100,Dec-16,100 42705,336174767,97672556,317501124,238502211,0,4405084524,3012317771,22255390,0,1199964403,0,42550150,30420338,0,0,9058246,309565680,0,0,82654978,0,0.13,0.10,0.00,0.00,0.10,0.00,0.00,0.07,0.00
100,Dec-17,100 43070,382155550,144795036,222187108,237360514,0,4925804111,3242071985,25601652,0,1668162172,0,12810822,32072458,0,0,8468612,355941535,0,0,72525865,0,0.03,0.14,0.00,0.00,0.11,0.00,0.00,0.04,0.00
100,Dec-18,100 43435,725698369,390265349,116703379,335433020,0,5579328112,2482729462,0,0,979355549,0,34155233,10154921,0,0,9017748,307097103,0,0,55557207,0,0.05,0.09,0.00,0.00,0.12,0.00,0.00,0.06,0.00
100,Dec-19,100 43800,369929649,50178415,50512380,319751234,0,5462498567,2808769386,0,0,1262012159,0,13719582,7532076,0,0,32269755,280435367,0,0,68285213,0,0.04,0.15,0.00,0.01,0.10,0.00,0.00,0.05,0.00
100,Dec-20,100 44166,162342869,27806862,25707503,134536007,0,5187957237,3183645114,0,0,1170349715,0,13452938,5932979,0,0,28724560,369376035,0,0,50758996,0,0.08,0.23,0.00,0.01,0.12,0.00,0.00,0.04,0.00
100,Dec-21,100 44531,141179882,45262338,0,95917544,0,5189607237,3343260726,0,0,1341307926,0,2260070,1728117,0,0,39586704,380998092,0,0,39431119,0,0.02,0.00,0.00,0.01,0.11,0.00,0.00,0.03,0.00
100,Dec-22,100 44896,188265059,8984730,0,179280329,0,4990825996,3550727211,0,0,1040397104,0,8832026,0,0,0,0,432308178,0,0,76403803,0,0.05,0.00,0.00,0.00,0.12,0.00,0.00,0.07,0.00
1002,Apr-14,1002 41730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-14,1002 41974,0,0,0,0,35819858,0,0,0,0,0,0,0,0,0,3671303,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-15,1002 42339,0,0,0,0,43470680,0,0,0,0,0,0,0,0,0,3125333,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-16,1002 42705,0,0,0,0,53470633,0,0,0,0,0,0,0,0,0,4180345,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1002,Jun-17,1002 42887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-17,1002 43070,0,0,0,0,63605035,0,0,0,0,0,0,0,0,0,5476866,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-18,1002 43435,0,0,0,0,77652669,0,0,0,0,0,0,0,0,0,6103152,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-19,1002 43800,0,0,0,0,92368936,0,0,0,0,0,0,0,0,0,8264645,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-20,1002 44166,0,0,0,0,81816130,0,0,0,0,0,0,0,0,0,7463692,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-21,1002 44531,0,0,0,0,90730221,0,0,0,0,0,0,0,0,0,7614119,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1002,Dec-22,1002 44896,0,0,0,0,93124594,0,0,0,0,0,0,0,0,0,5868567,0,0,0,0,0,0,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-13,1003 41609,0,0,0,0,47411655,0,0,0,0,0,0,0,0,0,4073970,0,0,0,0,0,0,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-14,1003 41974,0,0,0,0,53364580,0,0,0,0,0,0,0,0,0,3637717,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1003,Jun-15,1003 42156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1003,Sep-15,1003 42248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-15,1003 42339,0,0,0,0,34277316,0,0,0,0,0,0,0,0,0,827816,0,0,0,0,0,0,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-16,1003 42705,0,0,0,0,33100278,0,0,0,0,0,0,0,0,0,1027400,0,0,0,0,0,0,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-17,1003 43070,0,0,0,0,36798885,0,0,0,0,0,0,0,0,0,2423894,0,0,0,0,0,0,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-18,1003 43435,0,0,0,0,38546253,0,0,0,0,0,0,0,0,0,740996,0,0,0,0,0,0,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-19,1003 43800,0,0,0,0,35845186,0,0,0,0,0,0,0,0,0,2745892,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1003,Jun-20,1003 43983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1003,Dec-20,1003 44166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1003,Jun-21,1003 44348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-14,1004 41974,0,0,0,0,3325259,0,0,0,0,0,0,0,0,0,345244,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-15,1004 42339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-16,1004 42705,1492869309,0,796560529,1492869309,0,6779596512,8157992352,0,0,3517412212,11720000,161998272,109531851,0,0,61315669,829438931,0,0,134958175,0,0.11,0.14,0.00,0.01,0.10,0.00,0.00,0.04,0.00
1004,Dec-17,1004 43070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-18,1004 43435,0,0,0,0,5580251,0,0,0,0,0,0,0,0,0,458972,0,0,0,0,0,0,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00
1004,Dec-19,1004 43800,0,0,0,0,5577329,0,0,0,0,0,0,0,0,0,547951,0,0,0,0,0,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00
